prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
67,Add Binary,/problems/add-binary,FREE,50.2%,EASY,4728,523,70,ALG
68,Text Justification,/problems/text-justification,FREE,34.7%,HARD,1673,2778,684,ALG
69,Sqrt(x),/problems/sqrtx,FREE,36.3%,EASY,3506,3071,304,ALG
70,Climbing Stairs,/problems/climbing-stairs,FREE,50.9%,EASY,10937,336,160,ALG
71,Simplify Path,/problems/simplify-path,FREE,38.6%,MED,2208,451,572,ALG
72,Edit Distance,/problems/edit-distance,FREE,50.4%,HARD,7928,90,170,ALG
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,FREE,48.0%,MED,6328,473,129,ALG
74,Search a 2D Matrix,/problems/search-a-2d-matrix,FREE,42.9%,MED,6374,248,138,ALG
75,Sort Colors,/problems/sort-colors,FREE,54.3%,MED,9132,397,433,ALG
76,Minimum Window Substring,/problems/minimum-window-substring,FREE,38.7%,HARD,9731,526,371,ALG
77,Combinations,/problems/combinations,FREE,63.4%,MED,3892,130,137,ALG
78,Subsets,/problems/subsets,FREE,70.9%,MED,9454,151,178,ALG
79,Word Search,/problems/word-search,FREE,39.5%,MED,8771,336,377,ALG
80,Remove Duplicates from Sorted Array II,/problems/remove-duplicates-from-sorted-array-ii,FREE,50.3%,MED,3480,910,881,ALG
81,Search in Rotated Sorted Array II,/problems/search-in-rotated-sorted-array-ii,FREE,34.5%,MED,3464,659,775,ALG
82,Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,FREE,44.0%,MED,5471,161,178,ALG
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,FREE,48.8%,EASY,4480,181,142,ALG
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,FREE,40.6%,HARD,9386,138,167,ALG
85,Maximal Rectangle,/problems/maximal-rectangle,FREE,42.5%,HARD,6329,106,126,ALG
86,Partition List,/problems/partition-list,FREE,47.6%,MED,3298,467,228,ALG
87,Scramble String,/problems/scramble-string,FREE,35.5%,HARD,1370,922,194,ALG
88,Merge Sorted Array,/problems/merge-sorted-array,FREE,43.5%,EASY,3851,367,634,ALG
89,Gray Code,/problems/gray-code,FREE,55.0%,MED,1385,2225,125,ALG
90,Subsets II,/problems/subsets-ii,FREE,52.9%,MED,4665,146,187,ALG
91,Decode Ways,/problems/decode-ways,FREE,30.0%,MED,6544,3771,563,ALG
92,Reverse Linked List II,/problems/reverse-linked-list-ii,FREE,43.2%,MED,5794,274,189,ALG
93,Restore IP Addresses,/problems/restore-ip-addresses,FREE,41.5%,MED,2589,621,389,ALG
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,FREE,70.4%,EASY,7213,321,83,ALG
95,Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,FREE,49.0%,MED,4547,295,171,ALG
96,Unique Binary Search Trees,/problems/unique-binary-search-trees,FREE,58.1%,MED,6890,274,144,ALG
97,Interleaving String,/problems/interleaving-string,FREE,34.6%,MED,3681,196,335,ALG
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,FREE,30.4%,MED,9194,867,119,ALG
99,Recover Binary Search Tree,/problems/recover-binary-search-tree,FREE,46.1%,MED,4034,150,177,ALG
100,Same Tree,/problems/same-tree,FREE,55.4%,EASY,5300,128,210,ALG
101,Symmetric Tree,/problems/symmetric-tree,FREE,51.3%,EASY,8943,223,108,ALG
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,FREE,60.6%,MED,7646,152,131,ALG
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,FREE,53.3%,MED,5507,166,183,ALG
104,Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,FREE,71.6%,EASY,6550,123,184,ALG
105,Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,FREE,57.2%,MED,7997,206,196,ALG
106,Construct Binary Tree from Inorder and Postorder Traversal,/problems/construct-binary-tree-from-inorder-and-postorder-traversal,FREE,55.0%,MED,4260,70,199,ALG
107,Binary Tree Level Order Traversal II,/problems/binary-tree-level-order-traversal-ii,FREE,58.4%,MED,3043,274,159,ALG
108,Convert Sorted Array to Binary Search Tree,/problems/convert-sorted-array-to-binary-search-tree,FREE,65.6%,EASY,5994,344,260,ALG
109,Convert Sorted List to Binary Search Tree,/problems/convert-sorted-list-to-binary-search-tree,FREE,55.2%,MED,4367,112,278,ALG
110,Balanced Binary Tree,/problems/balanced-binary-tree,FREE,46.5%,EASY,5375,292,218,ALG
111,Minimum Depth of Binary Tree,/problems/minimum-depth-of-binary-tree,FREE,42.3%,EASY,3874,936,198,ALG
112,Path Sum,/problems/path-sum,FREE,45.2%,EASY,5150,768,207,ALG
113,Path Sum II,/problems/path-sum-ii,FREE,53.7%,MED,4493,104,346,ALG
114,Flatten Binary Tree to Linked List,/problems/flatten-binary-tree-to-linked-list,FREE,57.4%,MED,6732,458,71,ALG
115,Distinct Subsequences,/problems/distinct-subsequences,FREE,42.1%,HARD,3203,141,416,ALG
116,Populating Next Right Pointers in Each Node,/problems/populating-next-right-pointers-in-each-node,FREE,56.4%,MED,6096,223,342,ALG
117,Populating Next Right Pointers in Each Node II,/problems/populating-next-right-pointers-in-each-node-ii,FREE,46.2%,MED,3522,232,205,ALG
118,Pascal's Triangle,/problems/pascals-triangle,FREE,63.7%,EASY,5227,200,163,ALG
119,Pascal's Triangle II,/problems/pascals-triangle-ii,FREE,57.0%,EASY,2368,259,262,ALG
120,Triangle,/problems/triangle,FREE,50.4%,MED,4636,377,258,ALG
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,FREE,53.9%,EASY,14988,504,336,ALG
122,Best Time to Buy and Sell Stock II,/problems/best-time-to-buy-and-sell-stock-ii,FREE,61.7%,MED,7086,2342,335,ALG
123,Best Time to Buy and Sell Stock III,/problems/best-time-to-buy-and-sell-stock-iii,FREE,42.9%,HARD,5508,114,292,ALG
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,FREE,37.5%,HARD,8899,517,387,ALG
125,Valid Palindrome,/problems/valid-palindrome,FREE,41.2%,EASY,3273,4968,301,ALG
126,Word Ladder II,/problems/word-ladder-ii,FREE,26.8%,HARD,3529,331,431,ALG
127,Word Ladder,/problems/word-ladder,FREE,35.2%,HARD,7630,1626,351,ALG
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,FREE,48.6%,MED,8710,383,156,ALG
129,Sum Root to Leaf Numbers,/problems/sum-root-to-leaf-numbers,FREE,56.5%,MED,3983,77,292,ALG
130,Surrounded Regions,/problems/surrounded-regions,FREE,33.7%,MED,4581,1129,193,ALG
131,Palindrome Partitioning,/problems/palindrome-partitioning,FREE,59.0%,MED,6302,195,211,ALG
132,Palindrome Partitioning II,/problems/palindrome-partitioning-ii,FREE,33.1%,HARD,3196,77,155,ALG
133,Clone Graph,/problems/clone-graph,FREE,47.0%,MED,5400,2406,722,ALG
134,Gas Station,/problems/gas-station,FREE,44.4%,MED,5553,587,529,ALG
135,Candy,/problems/candy,FREE,36.8%,HARD,2644,246,291,ALG
136,Single Number,/problems/single-number,FREE,69.2%,EASY,9374,331,204,ALG
137,Single Number II,/problems/single-number-ii,FREE,56.4%,MED,3907,471,247,ALG
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,FREE,47.6%,MED,8157,961,1005,ALG
139,Word Break,/problems/word-break,FREE,44.3%,MED,9896,440,244,ALG
140,Word Break II,/problems/word-break-ii,FREE,41.6%,HARD,4513,474,278,ALG
141,Linked List Cycle,/problems/linked-list-cycle,FREE,45.6%,EASY,7620,762,503,ALG
142,Linked List Cycle II,/problems/linked-list-cycle-ii,FREE,44.0%,MED,6878,454,521,ALG
143,Reorder List,/problems/reorder-list,FREE,47.3%,MED,5514,204,212,ALG
144,Binary Tree Preorder Traversal,/problems/binary-tree-preorder-traversal,FREE,62.1%,EASY,3823,119,154,ALG
145,Binary Tree Postorder Traversal,/problems/binary-tree-postorder-traversal,FREE,63.5%,EASY,3932,136,85,ALG
146,LRU Cache,/problems/lru-cache,FREE,39.5%,MED,12491,486,191,ALG
147,Insertion Sort List,/problems/insertion-sort-list,FREE,48.6%,MED,1929,785,423,ALG
148,Sort List,/problems/sort-list,FREE,51.7%,MED,6868,227,181,ALG
149,Max Points on a Line,/problems/max-points-on-a-line,FREE,20.2%,HARD,925,167,160,ALG
150,Evaluate Reverse Polish Notation,/problems/evaluate-reverse-polish-notation,FREE,42.0%,MED,2754,608,409,ALG
151,Reverse Words in a String,/problems/reverse-words-in-a-string,FREE,28.1%,MED,2908,3806,552,ALG
152,Maximum Product Subarray,/problems/maximum-product-subarray,FREE,34.5%,MED,10833,338,265,ALG
153,Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,FREE,47.8%,MED,6278,374,430,ALG
154,Find Minimum in Rotated Sorted Array II,/problems/find-minimum-in-rotated-sorted-array-ii,FREE,43.2%,HARD,2747,365,613,ALG
155,Min Stack,/problems/min-stack,FREE,49.8%,EASY,7593,598,126,ALG
156,Binary Tree Upside Down,/problems/binary-tree-upside-down,PREM,59.9%,MED,110,189,300,ALG
157,Read N Characters Given Read4,/problems/read-n-characters-given-read4,PREM,40.2%,EASY,488,2931,716,ALG
158,Read N Characters Given read4 II - Call Multiple Times,/problems/read-n-characters-given-read4-ii-call-multiple-times,PREM,40.6%,HARD,792,1627,768,ALG
159,Longest Substring with At Most Two Distinct Characters,/problems/longest-substring-with-at-most-two-distinct-characters,PREM,52.5%,MED,1657,25,107,ALG
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,FREE,49.4%,EASY,8317,838,747,ALG
161,One Edit Distance,/problems/one-edit-distance,PREM,33.9%,MED,1091,161,175,ALG
162,Find Peak Element,/problems/find-peak-element,FREE,45.8%,MED,5614,3597,320,ALG
163,Missing Ranges,/problems/missing-ranges,PREM,31.1%,EASY,744,2466,457,ALG
164,Maximum Gap,/problems/maximum-gap,FREE,41.2%,HARD,2011,278,247,ALG
165,Compare Version Numbers,/problems/compare-version-numbers,FREE,34.4%,MED,1541,2219,905,ALG
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,FREE,23.5%,MED,1521,2870,342,ALG
167,Two Sum II - Input Array Is Sorted,/problems/two-sum-ii-input-array-is-sorted,FREE,58.4%,MED,4928,899,539,ALG
168,Excel Sheet Column Title,/problems/excel-sheet-column-title,FREE,33.8%,EASY,2649,396,113,ALG
169,Majority Element,/problems/majority-element,FREE,62.7%,EASY,9082,327,201,ALG
170,Two Sum III - Data structure design,/problems/two-sum-iii-data-structure-design,PREM,36.6%,EASY,520,363,159,ALG
171,Excel Sheet Column Number,/problems/excel-sheet-column-number,FREE,60.5%,EASY,3167,266,140,ALG
172,Factorial Trailing Zeroes,/problems/factorial-trailing-zeroes,FREE,40.6%,MED,1909,1647,198,ALG
173,Binary Search Tree Iterator,/problems/binary-search-tree-iterator,FREE,65.3%,MED,5061,360,421,ALG
174,Dungeon Game,/problems/dungeon-game,FREE,36.3%,HARD,3886,80,1041,ALG
175,Combine Two Tables,/problems/combine-two-tables,FREE,69.6%,EASY,1804,184,310,DB
176,Second Highest Salary,/problems/second-highest-salary,FREE,35.1%,MED,1714,693,214,DB
