prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
81,Search in Rotated Sorted Array II,/problems/search-in-rotated-sorted-array-ii,free,34.5%,Medium
82,Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,free,44.0%,Medium
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,free,48.8%,Easy
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,free,40.6%,Hard
85,Maximal Rectangle,/problems/maximal-rectangle,free,42.5%,Hard
86,Partition List,/problems/partition-list,free,47.6%,Medium
87,Scramble String,/problems/scramble-string,free,35.5%,Hard
88,Merge Sorted Array,/problems/merge-sorted-array,free,43.5%,Easy
89,Gray Code,/problems/gray-code,free,55.0%,Medium
90,Subsets II,/problems/subsets-ii,free,52.9%,Medium
91,Decode Ways,/problems/decode-ways,free,30.0%,Medium
92,Reverse Linked List II,/problems/reverse-linked-list-ii,free,43.2%,Medium
93,Restore IP Addresses,/problems/restore-ip-addresses,free,41.5%,Medium
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,free,70.4%,Easy
95,Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,free,49.0%,Medium
96,Unique Binary Search Trees,/problems/unique-binary-search-trees,free,58.1%,Medium
97,Interleaving String,/problems/interleaving-string,free,34.6%,Medium
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,free,30.4%,Medium
99,Recover Binary Search Tree,/problems/recover-binary-search-tree,free,46.1%,Medium
100,Same Tree,/problems/same-tree,free,55.4%,Easy
101,Symmetric Tree,/problems/symmetric-tree,free,51.3%,Easy
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,free,60.6%,Medium
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,free,53.3%,Medium
104,Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,free,71.6%,Easy
105,Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,free,57.2%,Medium
106,Construct Binary Tree from Inorder and Postorder Traversal,/problems/construct-binary-tree-from-inorder-and-postorder-traversal,free,55.0%,Medium
107,Binary Tree Level Order Traversal II,/problems/binary-tree-level-order-traversal-ii,free,58.4%,Medium
