prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
69,Sqrt(x),/problems/sqrtx,free,36.3%,Easy,3506,3071,304,ALG
70,Climbing Stairs,/problems/climbing-stairs,free,50.9%,Easy,10937,336,160,ALG
71,Simplify Path,/problems/simplify-path,free,38.6%,Medium,2208,451,572,ALG
72,Edit Distance,/problems/edit-distance,free,50.4%,Hard,7928,90,170,ALG
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,free,48.0%,Medium,6328,473,129,ALG
74,Search a 2D Matrix,/problems/search-a-2d-matrix,free,42.9%,Medium,6374,248,138,ALG
75,Sort Colors,/problems/sort-colors,free,54.3%,Medium,9132,397,433,ALG
76,Minimum Window Substring,/problems/minimum-window-substring,free,38.7%,Hard,9731,526,371,ALG
77,Combinations,/problems/combinations,free,63.4%,Medium,3892,130,137,ALG
78,Subsets,/problems/subsets,free,70.9%,Medium,9454,151,178,ALG
79,Word Search,/problems/word-search,free,39.5%,Medium,8771,336,377,ALG
80,Remove Duplicates from Sorted Array II,/problems/remove-duplicates-from-sorted-array-ii,free,50.3%,Medium,3480,910,881,ALG
81,Search in Rotated Sorted Array II,/problems/search-in-rotated-sorted-array-ii,free,34.5%,Medium,3464,659,775,ALG
82,Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,free,44.0%,Medium,5471,161,178,ALG
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,free,48.8%,Easy,4480,181,142,ALG
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,free,40.6%,Hard,9386,138,167,ALG
85,Maximal Rectangle,/problems/maximal-rectangle,free,42.5%,Hard,6329,106,126,ALG
86,Partition List,/problems/partition-list,free,47.6%,Medium,3298,467,228,ALG
87,Scramble String,/problems/scramble-string,free,35.5%,Hard,1370,922,194,ALG
88,Merge Sorted Array,/problems/merge-sorted-array,free,43.5%,Easy,3851,367,634,ALG
89,Gray Code,/problems/gray-code,free,55.0%,Medium,1385,2225,125,ALG
90,Subsets II,/problems/subsets-ii,free,52.9%,Medium,4665,146,187,ALG
91,Decode Ways,/problems/decode-ways,free,30.0%,Medium,6544,3771,563,ALG
92,Reverse Linked List II,/problems/reverse-linked-list-ii,free,43.2%,Medium,5794,274,189,ALG
93,Restore IP Addresses,/problems/restore-ip-addresses,free,41.5%,Medium,2589,621,389,ALG
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,free,70.4%,Easy,7213,321,83,ALG
95,Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,free,49.0%,Medium,4547,295,171,ALG
96,Unique Binary Search Trees,/problems/unique-binary-search-trees,free,58.1%,Medium,6890,274,144,ALG
97,Interleaving String,/problems/interleaving-string,free,34.6%,Medium,3681,196,335,ALG
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,free,30.4%,Medium,9194,867,119,ALG
99,Recover Binary Search Tree,/problems/recover-binary-search-tree,free,46.1%,Medium,4034,150,177,ALG
100,Same Tree,/problems/same-tree,free,55.4%,Easy,5300,128,210,ALG
101,Symmetric Tree,/problems/symmetric-tree,free,51.3%,Easy,8943,223,108,ALG
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,free,60.6%,Medium,7646,152,131,ALG
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,free,53.3%,Medium,5507,166,183,ALG
104,Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,free,71.6%,Easy,6550,123,184,ALG
105,Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,free,57.2%,Medium,7997,206,196,ALG
106,Construct Binary Tree from Inorder and Postorder Traversal,/problems/construct-binary-tree-from-inorder-and-postorder-traversal,free,55.0%,Medium,4260,70,199,ALG
107,Binary Tree Level Order Traversal II,/problems/binary-tree-level-order-traversal-ii,free,58.4%,Medium,3043,274,159,ALG
108,Convert Sorted Array to Binary Search Tree,/problems/convert-sorted-array-to-binary-search-tree,free,65.6%,Easy,5994,344,260,ALG
109,Convert Sorted List to Binary Search Tree,/problems/convert-sorted-list-to-binary-search-tree,free,55.2%,Medium,4367,112,278,ALG
110,Balanced Binary Tree,/problems/balanced-binary-tree,free,46.5%,Easy,5375,292,218,ALG
111,Minimum Depth of Binary Tree,/problems/minimum-depth-of-binary-tree,free,42.3%,Easy,3874,936,198,ALG
112,Path Sum,/problems/path-sum,free,45.2%,Easy,5150,768,207,ALG
113,Path Sum II,/problems/path-sum-ii,free,53.7%,Medium,4493,104,346,ALG
114,Flatten Binary Tree to Linked List,/problems/flatten-binary-tree-to-linked-list,free,57.4%,Medium,6732,458,71,ALG
115,Distinct Subsequences,/problems/distinct-subsequences,free,42.1%,Hard,3203,141,416,ALG
116,Populating Next Right Pointers in Each Node,/problems/populating-next-right-pointers-in-each-node,free,56.4%,Medium,6096,223,342,ALG
117,Populating Next Right Pointers in Each Node II,/problems/populating-next-right-pointers-in-each-node-ii,free,46.2%,Medium,3522,232,205,ALG
118,Pascal's Triangle,/problems/pascals-triangle,free,63.7%,Easy,5227,200,163,ALG
119,Pascal's Triangle II,/problems/pascals-triangle-ii,free,57.0%,Easy,2368,259,262,ALG
120,Triangle,/problems/triangle,free,50.4%,Medium,4636,377,258,ALG
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,free,53.9%,Easy,14988,504,336,ALG
122,Best Time to Buy and Sell Stock II,/problems/best-time-to-buy-and-sell-stock-ii,free,61.7%,Medium,7086,2342,335,ALG
123,Best Time to Buy and Sell Stock III,/problems/best-time-to-buy-and-sell-stock-iii,free,42.9%,Hard,5508,114,292,ALG
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,free,37.5%,Hard,8899,517,387,ALG
125,Valid Palindrome,/problems/valid-palindrome,free,41.2%,Easy,3273,4968,301,ALG
126,Word Ladder II,/problems/word-ladder-ii,free,26.8%,Hard,3529,331,431,ALG
127,Word Ladder,/problems/word-ladder,free,35.2%,Hard,7630,1626,351,ALG
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,free,48.6%,Medium,8710,383,156,ALG
129,Sum Root to Leaf Numbers,/problems/sum-root-to-leaf-numbers,free,56.5%,Medium,3983,77,292,ALG
130,Surrounded Regions,/problems/surrounded-regions,free,33.7%,Medium,4581,1129,193,ALG
131,Palindrome Partitioning,/problems/palindrome-partitioning,free,59.0%,Medium,6302,195,211,ALG
132,Palindrome Partitioning II,/problems/palindrome-partitioning-ii,free,33.1%,Hard,3196,77,155,ALG
133,Clone Graph,/problems/clone-graph,free,47.0%,Medium,5400,2406,722,ALG
134,Gas Station,/problems/gas-station,free,44.4%,Medium,5553,587,529,ALG
135,Candy,/problems/candy,free,36.8%,Hard,2644,246,291,ALG
136,Single Number,/problems/single-number,free,69.2%,Easy,9374,331,204,ALG
137,Single Number II,/problems/single-number-ii,free,56.4%,Medium,3907,471,247,ALG
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,free,47.6%,Medium,8157,961,1005,ALG
139,Word Break,/problems/word-break,free,44.3%,Medium,9896,440,244,ALG
140,Word Break II,/problems/word-break-ii,free,41.6%,Hard,4513,474,278,ALG
141,Linked List Cycle,/problems/linked-list-cycle,free,45.6%,Easy,7620,762,503,ALG
142,Linked List Cycle II,/problems/linked-list-cycle-ii,free,44.0%,Medium,6878,454,521,ALG
143,Reorder List,/problems/reorder-list,free,47.3%,Medium,5514,204,212,ALG
144,Binary Tree Preorder Traversal,/problems/binary-tree-preorder-traversal,free,62.1%,Easy,3823,119,154,ALG
145,Binary Tree Postorder Traversal,/problems/binary-tree-postorder-traversal,free,63.5%,Easy,3932,136,85,ALG
146,LRU Cache,/problems/lru-cache,free,39.5%,Medium,12491,486,191,ALG
147,Insertion Sort List,/problems/insertion-sort-list,free,48.6%,Medium,1929,785,423,ALG
148,Sort List,/problems/sort-list,free,51.7%,Medium,6868,227,181,ALG
149,Max Points on a Line,/problems/max-points-on-a-line,free,20.2%,Hard,925,167,160,ALG
150,Evaluate Reverse Polish Notation,/problems/evaluate-reverse-polish-notation,free,42.0%,Medium,2754,608,409,ALG
151,Reverse Words in a String,/problems/reverse-words-in-a-string,free,28.1%,Medium,2908,3806,552,ALG
152,Maximum Product Subarray,/problems/maximum-product-subarray,free,34.5%,Medium,10833,338,265,ALG
153,Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,free,47.8%,Medium,6278,374,430,ALG
154,Find Minimum in Rotated Sorted Array II,/problems/find-minimum-in-rotated-sorted-array-ii,free,43.2%,Hard,2747,365,613,ALG
155,Min Stack,/problems/min-stack,free,49.8%,Easy,7593,598,126,ALG
156,Binary Tree Upside Down,/problems/binary-tree-upside-down,premium,59.9%,Medium,110,189,300,ALG
157,Read N Characters Given Read4,/problems/read-n-characters-given-read4,premium,40.2%,Easy,488,2931,716,ALG
158,Read N Characters Given read4 II - Call Multiple Times,/problems/read-n-characters-given-read4-ii-call-multiple-times,premium,40.6%,Hard,792,1627,768,ALG
159,Longest Substring with At Most Two Distinct Characters,/problems/longest-substring-with-at-most-two-distinct-characters,premium,52.5%,Medium,1657,25,107,ALG
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,free,49.4%,Easy,8317,838,747,ALG
161,One Edit Distance,/problems/one-edit-distance,premium,33.9%,Medium,1091,161,175,ALG
162,Find Peak Element,/problems/find-peak-element,free,45.8%,Medium,5614,3597,320,ALG
163,Missing Ranges,/problems/missing-ranges,premium,31.1%,Easy,744,2466,457,ALG
164,Maximum Gap,/problems/maximum-gap,free,41.2%,Hard,2011,278,247,ALG
165,Compare Version Numbers,/problems/compare-version-numbers,free,34.4%,Medium,1541,2219,905,ALG
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,free,23.5%,Medium,1521,2870,342,ALG
167,Two Sum II - Input Array Is Sorted,/problems/two-sum-ii-input-array-is-sorted,free,58.4%,Medium,4928,899,539,ALG
168,Excel Sheet Column Title,/problems/excel-sheet-column-title,free,33.8%,Easy,2649,396,113,ALG
169,Majority Element,/problems/majority-element,free,62.7%,Easy,9082,327,201,ALG
170,Two Sum III - Data structure design,/problems/two-sum-iii-data-structure-design,premium,36.6%,Easy,520,363,159,ALG
171,Excel Sheet Column Number,/problems/excel-sheet-column-number,free,60.5%,Easy,3167,266,140,ALG
172,Factorial Trailing Zeroes,/problems/factorial-trailing-zeroes,free,40.6%,Medium,1909,1647,198,ALG
173,Binary Search Tree Iterator,/problems/binary-search-tree-iterator,free,65.3%,Medium,5061,360,421,ALG
174,Dungeon Game,/problems/dungeon-game,free,36.3%,Hard,3886,80,1041,ALG
175,Combine Two Tables,/problems/combine-two-tables,free,69.6%,Easy,1804,184,310,DB
176,Second Highest Salary,/problems/second-highest-salary,free,35.1%,Medium,1714,693,214,DB
177,Nth Highest Salary,/problems/nth-highest-salary,free,35.9%,Medium,993,635,208,DB
178,Rank Scores,/problems/rank-scores,free,56.9%,Medium,1258,200,231,DB
179,Largest Number,/problems/largest-number,free,32.7%,Medium,4636,394,199,ALG
180,Consecutive Numbers,/problems/consecutive-numbers,free,45.4%,Medium,932,181,186,DB
181,Employees Earning More Than Their Managers,/problems/employees-earning-more-than-their-managers,free,65.9%,Easy,1303,151,179,DB
182,Duplicate Emails,/problems/duplicate-emails,free,68.5%,Easy,1010,45,156,DB
183,Customers Who Never Order,/problems/customers-who-never-order,free,62.3%,Easy,837,69,186,DB
184,Department Highest Salary,/problems/department-highest-salary,free,46.3%,Medium,1049,163,213,DB
185,Department Top Three Salaries,/problems/department-top-three-salaries,free,46.5%,Hard,1022,180,436,DB
186,Reverse Words in a String II,/problems/reverse-words-in-a-string-ii,premium,50.6%,Medium,830,126,245,ALG
